id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,frequency,spf,power,airtime,coderate,bandwidth,ap_id,node_id
146,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:35.851,866900000,12,15,901,4/5,125000,111114,3cDO
147,"",[],34509,t,f,t,2020-04-14 20:57:36.067,866900000,12,15,901,4/5,125000,111117,FEwg
148,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:38.71,866900000,12,15,901,4/5,125000,111113,G5yk
149,"",[],34509,t,f,t,2020-04-14 20:57:39.053,866900000,12,15,901,4/5,125000,111113,AmbT
150,"",[],34378,t,f,t,2020-04-14 20:57:41.719,866900000,12,15,1032,4/5,125000,111117,3cDO
151,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:42.535,866900000,12,15,901,4/5,125000,111118,xJ1M
152,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:43.024,866900000,12,15,901,4/5,125000,111120,xJ1M
153,"","[{""sf"":7,""power"":13,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:44.164,866900000,12,15,901,4/5,125000,111119,xJ1M
154,"",[],34509,t,f,t,2020-04-14 20:57:44.44,866900000,12,15,901,4/5,125000,111120,AmbT
155,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:46.5,866900000,12,15,901,4/5,125000,111112,oMkY
156,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:57:53.298,866900000,12,15,1032,4/5,125000,111117,oMkY
157,"",[],34378,t,f,t,2020-04-14 20:57:53.475,866900000,12,15,1032,4/5,125000,111115,NuYt
158,"","[{""sf"":7,""power"":7,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:57:55.417,866900000,12,15,1032,4/5,125000,111116,Vt4R
159,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:57:56.03,866900000,12,15,901,4/5,125000,111120,Vt4R
160,"",[],34509,t,f,t,2020-04-14 20:57:57.279,866900000,12,14,901,4/5,125000,111111,J6Hs
161,"",[],34509,t,f,t,2020-04-14 20:57:57.626,866900000,12,15,901,4/5,125000,111113,XiaC
162,"",[],34509,t,f,t,2020-04-14 20:58:04.886,866900000,12,14,901,4/5,125000,111117,J6Hs
163,"",[],34509,t,f,t,2020-04-14 20:58:05.749,866900000,12,15,901,4/5,125000,111118,XiaC
164,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:07.089,866900000,12,15,901,4/5,125000,111117,hwfO
165,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:09.21,866900000,12,15,901,4/5,125000,111113,Kj3C
166,"",[],34378,t,f,t,2020-04-14 20:58:10.788,866900000,12,15,1032,4/5,125000,111117,xxt0
167,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:16.47,866900000,12,15,901,4/5,125000,111117,wFyV
168,"","[{""sf"":7,""power"":6,""type"":""NORMAL""}]",34050,t,f,t,2020-04-14 20:58:17.586,866900000,12,15,1032,4/5,125000,111114,ZsxG
169,"","[{""sf"":7,""power"":5,""type"":""NORMAL""}]",34181,t,f,t,2020-04-14 20:58:19.186,866900000,12,15,901,4/5,125000,111120,ZsxG
