id,app_data,net_data,duty_cycle_remaining,sent,ack_required,delivered,send_time,ap_id,node_id
1701,"",[],3207,t,f,t,2020-04-11 00:20:24.346,999999,qESf
1702,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:20:35.182,999999,2DeF
1703,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:20:38.247,666666,istc
1704,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:20:46.447,444444,0pHA
1705,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:21:03.154,555555,2SLw
1706,"",[],3207,t,f,t,2020-04-11 00:21:34.371,777777,4mWH
1707,"","[{""sf"":8,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:21:45.898,999999,kPOe
1708,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:21:46.713,888888,4mWH
1709,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:21:54.02,555555,xN6w
1710,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:21:57.706,888888,KWoS
1711,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:22:03.145,222222,Uass
1712,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:22:09.392,111111,Uass
1713,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:22:14.795,555555,qK8y
1714,"",[],3028,t,f,t,2020-04-11 00:22:25.578,555555,HDSa
1715,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:22:25.878,333333,0hDQ
1716,"",[],3028,t,f,t,2020-04-11 00:22:27.202,444444,qi4R
1717,"","[{""sf"":11,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:22:40.205,111111,dOAs
1718,"","[{""sf"":12,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:22:46.658,999999,Glqc
1719,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:22:47.989,444444,AqyI
1720,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:22:56.586,555555,9ygb
1721,"","[{""sf"":8,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:22:59.471,000000,OGsj
1722,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:23:06.634,333333,oDOC
1723,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:23:17.276,555555,vewT
1724,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:23:19.183,666666,zYf4
1725,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:23:20.969,111111,cfHK
1726,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:23:41.75,111111,mNF8
1727,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:24:07.596,999999,aS6g
1728,"","[{""sf"":10,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:24:19.519,444444,dOAs
1729,"","[{""sf"":11,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:24:19.698,888888,qi4R
1730,"","[{""sf"":7,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:24:28.701,333333,SrSH
1731,"","[{""sf"":7,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:24:29.889,666666,YiqN
1732,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:24:32.652,111111,aS6g
1733,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:24:40.494,666666,yHWk
1734,"","[{""sf"":12,""power"":13,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:24:44.127,222222,hkRB
1735,"","[{""sf"":9,""power"":14,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:25:00.256,000000,2iDN
1736,"",[],3028,t,f,t,2020-04-11 00:25:28.568,999999,1sO8
1737,"","[{""sf"":10,""power"":15,""type"":""NORMAL""}]",3187,t,f,t,2020-04-11 00:25:40.232,444444,SBjM
1738,"","[{""sf"":9,""power"":15,""type"":""NORMAL""}]",3008,t,f,t,2020-04-11 00:25:43.635,111111,4QkP
